FECHA,PRECIP,EVAP,TMAX,TMIN
30/11/1965,0,8.8,26,22
1/12/65,0,3.7,27,24
2/12/65,0,2.4,27,23
3/12/65,1,1.9,26,24
4/12/65,1,1.7,24,22
5/12/65,10,1.7,23,22
6/12/65,2,4.1,25,19
7/12/65,1,8.1,26,16
8/12/65,0,7.9,25,17
9/12/65,0,6.1,26,15
10/12/65,0,2.8,25,16
11/12/65,0,2.5,27,22
12/12/65,0,4.6,26,16
13/12/1965,0,4.2,27,16
14/12/1965,0,3.7,28,15
15/12/1965,1,2.6,27,16
16/12/1965,0,7.5,26.5,15
17/12/1965,1,6,28,17
18/12/1965,2,1.5,28,17
19/12/1965,1,2.6,27,17
20/12/1965,1,2.1,26,16
21/12/1965,0,5.1,25,10
22/12/1965,0,2.8,25,18
23/12/1965,0,8,26,14
24/12/1965,0,7.1,25,11
25/12/1965,0,5.5,25,13
26/12/1965,1,5.5,26,13
27/12/1965,0,4.8,25,14
28/12/1965,0,4.7,27,15
29/12/1965,0,8.2,26,15
30/12/1965,2,8.3,27,13
31/12/1965,3,4.5,27,21
1/12/66,0,3.2,27.5,15.5
2/12/66,0,2.4,27,14
3/12/66,0,2.6,29,16
4/12/66,0,3.9,28.5,22.5
5/12/66,0,1.9,29,19.5
6/12/66,0,3.2,30,19.5
7/12/66,0,3.2,26,23.5
8/12/66,0,2,24.5,21.5
9/12/66,0,3.8,24,23.5
10/12/66,8.5,3.2,31,18.5
11/12/66,7.1,3.1,27,21
12/12/66,0,2.6,24,18.5
13/12/1966,0,3.3,25,13.5
14/12/1966,0,2.2,26.5,13
15/12/1966,0,3.4,27.5,17
16/12/1966,3.5,1.7,27.5,18
17/12/1966,0,3.3,28,17.5
18/12/1966,0,3.2,25,16.5
19/12/1966,0,2.1,27.5,13
20/12/1966,0,2.2,27,13.5
21/12/1966,0,3.3,28,15.5
22/12/1966,0,3.4,27,15.5
23/12/1966,0,4.3,29,15
24/12/1966,0,3.3,27,16.5
25/12/1966,0,2.5,28,17
26/12/1966,0,3.4,30,16
27/12/1966,0,4.7,27,17
28/12/1966,0,2.5,27,17.5
29/12/1966,0,2.7,30,16.5
30/12/1966,0,2.3,30,18
31/12/1966,0,3.1,29,18
1/7/67,0,7.7,30.5,17.5
2/7/67,0,5.4,30,18.5
3/7/67,0,7.2,31,19.5
4/7/67,0,5.6,30.5,19
5/7/67,0,5.3,30.5,19.5
6/7/67,0,5.1,32.5,20
7/7/67,0,6.2,35.5,20.5
8/7/67,0,7.1,31,20
9/7/67,0,6.3,34.5,18.5
10/7/67,3.5,0.6,32,18.5
11/7/67,0,5.4,30.5,20.5
12/7/67,0,5.6,30,21
13/07/1967,0,5.5,30.5,20
14/07/1967,0,5.4,31.5,18.5
15/07/1967,0,3.3,31,18
16/07/1967,32.5,5.5,30.5,19.5
17/07/1967,14.5,5.3,31.5,19.5
18/07/1967,0,2.2,30,19
19/07/1967,10.5,5.2,30.5,18
20/07/1967,3,3.4,31.5,19.5
21/07/1967,4.3,5.3,31.5,20
22/07/1967,0,5.3,32.5,21
23/07/1967,0,5.3,33,19
24/07/1967,0,5.4,33.5,19.5
25/07/1967,0,5.6,34.5,19
26/07/1967,0,5.5,32.5,21
27/07/1967,0,5.4,34.5,17.5
28/07/1967,0,5.5,35.5,19.5
29/07/1967,0,5.7,33.5,19
30/07/1967,0,5.7,31,18.5
31/07/1967,0,6.2,33,17.5
1/8/67,0,5.3,32,26
2/8/67,1.5,6.3,31.5,26.5
3/8/67,0,5.5,32.5,26.5
4/8/67,0,5.8,33,27
5/8/67,0,6.6,34.5,25.5
6/8/67,0,7.4,32.5,26
7/8/67,0,6.7,32,26.5
8/8/67,0,7,33,26.5
9/8/67,0,6.6,34,27
10/8/67,0,7.3,34.5,26.5
11/8/67,0,6.3,34.5,26
12/8/67,0,6.6,35,26
13/08/1967,0,6.6,34.5,26
14/08/1967,0,7.6,36,26
15/08/1967,0,5.6,33,27
16/08/1967,5.5,4.7,33,27
17/08/1967,0,5.8,32,26.5
18/08/1967,1,7.8,31,27
19/08/1967,0,6.9,31.5,27
20/08/1967,17.5,6,33.5,26.5
21/08/1967,0,3.9,34,25
22/08/1967,0,5.4,34.5,26
23/08/1967,0,7.2,33,25.5
24/08/1967,10.5,6.3,35,25
25/08/1967,7.5,6.4,35.5,26
26/08/1967,0,6.2,34,24.5
27/08/1967,0,7.2,33,26
28/08/1967,0,6.5,31,27.5
29/08/1967,0,6,34,27
30/08/1967,0,5.6,32.5,26
31/08/1967,0,6.2,31.5,26
1/10/68,0,5.5,34.5,23
2/10/68,0,2.9,35,22.5
3/10/68,0,4.5,35.5,21.5
4/10/68,0,7.2,35,21.5
5/10/68,0,7.8,35,21.5
6/10/68,0,3,38,22
7/10/68,0,8.7,31,21.5
8/10/68,0,6.6,31.5,27.5
9/10/68,0,7.6,33,27.5
10/10/68,0,6.1,30,22
11/10/68,3.5,3.8,30,21
12/10/68,2.5,5.5,29,27
13/10/1968,0,3.7,29.5,22
14/10/1968,7,4.3,30,22
15/10/1968,11,5.9,31,23
16/10/1968,0,7.1,33,23
17/10/1968,0,5.2,34,20.5
18/10/1968,0,2.1,31.5,20.5
19/10/1968,0,3.4,31,23
20/10/1968,0,5.6,33,21
21/10/1968,0,4.9,33.5,23.5
22/10/1968,0,2.8,29,22
23/10/1968,0,4.6,31,22
24/10/1968,0,5,30.5,23
25/10/1968,0,3.6,29,20.5
26/10/1968,0,6.2,31,19
27/10/1968,0,3.6,33.5,21
28/10/1968,0,4.6,32,22
29/10/1968,0,3.7,30,19
30/10/1968,0,4,31,22
31/10/1968,0,3.3,33,23
